transition,antigen,series,arm,n,pct_inc,pct_dec,median_dlog10,p_signedrank,direction
Maternal production,PT,Total IgG,Pooled,283,70.3,29.7,0.161,0.00e+00,mostly increase
Maternal production,PT,Total IgG,TdaP,130,95.4,4.6,1.078,0.00e+00,mostly increase
Maternal production,PT,Total IgG,TT,153,49.0,51.0,-0.004,5.67e-01,mixed
Maternal production,PT,IgG1,Pooled,243,72.8,25.9,0.148,0.00e+00,mostly increase
Maternal production,PT,IgG1,TdaP,112,96.4,3.6,0.681,0.00e+00,mostly increase
Maternal production,PT,IgG1,TT,131,52.7,45.0,0.007,8.13e-01,mixed
Maternal production,PT,IgG2,Pooled,231,59.7,27.7,0.036,0.00e+00,mixed
Maternal production,PT,IgG2,TdaP,105,92.4,6.7,0.223,0.00e+00,mostly increase
Maternal production,PT,IgG2,TT,126,32.5,45.2,0.000,2.64e-01,mostly decrease
Maternal production,PT,IgG3,Pooled,237,55.7,35.0,0.042,7.00e-07,mixed
Maternal production,PT,IgG3,TdaP,109,87.2,9.2,0.168,0.00e+00,mostly increase
Maternal production,PT,IgG3,TT,128,28.9,57.0,-0.027,1.51e-04,mostly decrease
Maternal production,PT,IgG4,Pooled,243,48.6,30.0,0.000,0.00e+00,mixed
Maternal production,PT,IgG4,TdaP,112,77.7,9.8,0.087,0.00e+00,mostly increase
Maternal production,PT,IgG4,TT,131,23.7,47.3,0.000,5.47e-03,mostly decrease
Maternal production,FHA,Total IgG,Pooled,283,74.6,25.4,0.138,0.00e+00,mostly increase
Maternal production,FHA,Total IgG,TdaP,130,95.4,4.6,1.213,0.00e+00,mostly increase
Maternal production,FHA,Total IgG,TT,153,56.9,43.1,0.015,2.71e-01,mixed
Maternal production,FHA,IgG1,Pooled,243,74.5,25.5,0.292,0.00e+00,mostly increase
Maternal production,FHA,IgG1,TdaP,112,97.3,2.7,1.298,0.00e+00,mostly increase
Maternal production,FHA,IgG1,TT,131,55.0,45.0,0.018,2.69e-01,mixed
Maternal production,FHA,IgG2,Pooled,231,45.0,33.3,0.000,1.14e-02,mixed
Maternal production,FHA,IgG2,TdaP,105,40.0,48.6,0.000,6.82e-01,mostly decrease
Maternal production,FHA,IgG2,TT,126,49.2,20.6,0.000,2.82e-05,mixed
Maternal production,FHA,IgG3,Pooled,237,58.6,38.8,0.044,0.00e+00,mixed
Maternal production,FHA,IgG3,TdaP,109,89.0,11.0,0.343,0.00e+00,mostly increase
Maternal production,FHA,IgG3,TT,128,32.8,62.5,-0.032,5.84e-04,mostly decrease
Maternal production,FHA,IgG4,Pooled,243,39.5,55.6,-0.026,9.98e-04,mostly decrease
Maternal production,FHA,IgG4,TdaP,112,23.2,75.9,-0.145,0.00e+00,mostly decrease
Maternal production,FHA,IgG4,TT,131,53.4,38.2,0.013,1.98e-02,mixed
Maternal production,PRN,Total IgG,Pooled,283,72.4,27.6,0.142,0.00e+00,mostly increase
Maternal production,PRN,Total IgG,TdaP,130,95.4,4.6,1.563,0.00e+00,mostly increase
Maternal production,PRN,Total IgG,TT,153,52.9,47.1,0.006,7.90e-01,mixed
Maternal production,PRN,IgG1,Pooled,243,67.9,30.9,0.100,0.00e+00,mostly increase
Maternal production,PRN,IgG1,TdaP,112,95.5,4.5,0.958,0.00e+00,mostly increase
Maternal production,PRN,IgG1,TT,131,44.3,53.4,-0.008,3.81e-01,mixed
Maternal production,PRN,IgG2,Pooled,231,59.7,38.5,0.025,0.00e+00,mixed
Maternal production,PRN,IgG2,TdaP,105,83.8,16.2,0.189,0.00e+00,mostly increase
Maternal production,PRN,IgG2,TT,126,39.7,57.1,-0.011,4.97e-02,mostly decrease
Maternal production,PRN,IgG3,Pooled,237,49.4,48.1,0.000,1.80e-01,mixed
Maternal production,PRN,IgG3,TdaP,109,74.3,24.8,0.086,1.00e-07,mostly increase
Maternal production,PRN,IgG3,TT,128,28.1,68.0,-0.035,5.00e-07,mostly decrease
Maternal production,PRN,IgG4,Pooled,243,59.3,29.2,0.013,0.00e+00,mixed
Maternal production,PRN,IgG4,TdaP,112,83.9,12.5,0.065,0.00e+00,mostly increase
Maternal production,PRN,IgG4,TT,131,38.2,43.5,0.000,1.56e-01,mostly decrease
Maternal production,FIM,Total IgG,Pooled,283,60.8,38.5,0.042,3.63e-05,mostly increase
Maternal production,FIM,Total IgG,TdaP,130,66.2,33.1,0.114,3.30e-06,mostly increase
Maternal production,FIM,Total IgG,TT,153,56.2,43.1,0.015,3.14e-01,mixed
Maternal production,TT,Total IgG,Pooled,283,48.1,51.9,-0.011,8.47e-01,mixed
Maternal production,TT,Total IgG,TdaP,130,41.5,58.5,-0.042,2.18e-02,mixed
Maternal production,TT,Total IgG,TT,153,53.6,46.4,0.030,1.53e-02,mixed
Maternal production,TT,IgG1,Pooled,243,48.6,51.4,-0.008,7.23e-01,mixed
Maternal production,TT,IgG1,TdaP,112,40.2,59.8,-0.034,3.59e-02,mixed
Maternal production,TT,IgG1,TT,131,55.7,44.3,0.014,1.77e-02,mixed
Maternal production,TT,IgG2,Pooled,231,58.4,40.7,0.016,4.08e-05,mixed
Maternal production,TT,IgG2,TdaP,105,50.5,49.5,0.002,4.17e-01,mixed
Maternal production,TT,IgG2,TT,126,65.1,33.3,0.043,1.80e-06,mostly increase
Maternal production,TT,IgG3,Pooled,237,38.8,58.2,-0.012,6.52e-05,mostly decrease
Maternal production,TT,IgG3,TdaP,109,33.0,65.1,-0.019,1.04e-05,mostly decrease
Maternal production,TT,IgG3,TT,128,43.8,52.3,-0.004,1.98e-01,mixed
Maternal production,TT,IgG4,Pooled,243,59.3,37.4,0.032,5.14e-05,mixed
Maternal production,TT,IgG4,TdaP,112,55.4,40.2,0.018,5.23e-02,mixed
Maternal production,TT,IgG4,TT,131,62.6,35.1,0.050,2.25e-04,mostly increase
Maternal production,DT,Total IgG,Pooled,283,58.0,42.0,0.041,8.00e-07,mixed
Maternal production,DT,Total IgG,TdaP,130,80.0,20.0,0.680,0.00e+00,mostly increase
Maternal production,DT,Total IgG,TT,153,39.2,60.8,-0.028,1.65e-03,mostly decrease
Maternal production,DT,IgG1,Pooled,243,51.0,46.5,0.007,1.08e-04,mixed
Maternal production,DT,IgG1,TdaP,112,80.4,18.8,0.549,0.00e+00,mostly increase
Maternal production,DT,IgG1,TT,131,26.0,70.2,-0.038,1.10e-06,mostly decrease
Maternal production,DT,IgG2,Pooled,231,58.9,29.9,0.033,0.00e+00,mixed
Maternal production,DT,IgG2,TdaP,105,79.0,17.1,0.264,0.00e+00,mostly increase
Maternal production,DT,IgG2,TT,126,42.1,40.5,0.000,5.02e-01,mixed
Maternal production,DT,IgG3,Pooled,237,46.8,40.5,0.000,5.52e-02,mixed
Maternal production,DT,IgG3,TdaP,109,67.0,25.7,0.056,7.00e-07,mostly increase
Maternal production,DT,IgG3,TT,128,29.7,53.1,-0.022,9.09e-04,mostly decrease
Maternal production,DT,IgG4,Pooled,243,54.7,37.4,0.023,4.05e-05,mixed
Maternal production,DT,IgG4,TdaP,112,79.5,16.1,0.295,0.00e+00,mostly increase
Maternal production,DT,IgG4,TT,131,33.6,55.7,-0.029,2.77e-03,mostly decrease
Placental transfer,PT,Total IgG,Pooled,283,75.6,24.4,0.092,0.00e+00,mostly increase
Placental transfer,PT,Total IgG,TdaP,130,77.7,22.3,0.122,0.00e+00,mostly increase
Placental transfer,PT,Total IgG,TT,153,73.9,26.1,0.069,0.00e+00,mostly increase
Placental transfer,PT,IgG1,Pooled,240,55.8,43.3,0.025,2.22e-01,mixed
Placental transfer,PT,IgG1,TdaP,111,64.9,35.1,0.051,6.19e-03,mostly increase
Placental transfer,PT,IgG1,TT,129,48.1,50.4,-0.003,3.73e-01,mixed
Placental transfer,PT,IgG2,Pooled,223,13.9,73.5,-0.058,0.00e+00,mostly decrease
Placental transfer,PT,IgG2,TdaP,102,10.8,85.3,-0.086,0.00e+00,mostly decrease
Placental transfer,PT,IgG2,TT,121,16.5,63.6,-0.031,0.00e+00,mostly decrease
Placental transfer,PT,IgG3,Pooled,234,21.8,71.4,-0.057,0.00e+00,mostly decrease
Placental transfer,PT,IgG3,TdaP,108,25.9,72.2,-0.062,2.00e-07,mostly decrease
Placental transfer,PT,IgG3,TT,126,18.3,70.6,-0.055,0.00e+00,mostly decrease
Placental transfer,PT,IgG4,Pooled,240,30.4,43.8,0.000,2.63e-03,mostly decrease
Placental transfer,PT,IgG4,TdaP,111,38.7,46.8,0.000,5.07e-02,mostly decrease
Placental transfer,PT,IgG4,TT,129,23.3,41.1,0.000,1.74e-02,mostly decrease
Placental transfer,FHA,Total IgG,Pooled,283,73.9,26.1,0.099,0.00e+00,mostly increase
Placental transfer,FHA,Total IgG,TdaP,130,74.6,25.4,0.104,0.00e+00,mostly increase
Placental transfer,FHA,Total IgG,TT,153,73.2,26.8,0.099,0.00e+00,mostly increase
Placental transfer,FHA,IgG1,Pooled,240,70.8,28.8,0.113,0.00e+00,mostly increase
Placental transfer,FHA,IgG1,TdaP,111,76.6,22.5,0.128,4.00e-07,mostly increase
Placental transfer,FHA,IgG1,TT,129,65.9,34.1,0.084,9.63e-05,mostly increase
Placental transfer,FHA,IgG2,Pooled,223,34.1,26.9,0.000,7.36e-02,mostly decrease
Placental transfer,FHA,IgG2,TdaP,102,39.2,23.5,0.000,6.35e-02,mostly decrease
Placental transfer,FHA,IgG2,TT,121,29.8,29.8,0.000,4.54e-01,mostly decrease
Placental transfer,FHA,IgG3,Pooled,234,27.4,68.8,-0.066,0.00e+00,mostly decrease
Placental transfer,FHA,IgG3,TdaP,108,29.6,67.6,-0.074,5.00e-07,mostly decrease
Placental transfer,FHA,IgG3,TT,126,25.4,69.8,-0.064,0.00e+00,mostly decrease
Placental transfer,FHA,IgG4,Pooled,240,55.8,37.1,0.024,3.41e-04,mixed
Placental transfer,FHA,IgG4,TdaP,111,42.3,52.3,-0.011,3.92e-01,mixed
Placental transfer,FHA,IgG4,TT,129,67.4,24.0,0.058,2.00e-07,mostly increase
Placental transfer,PRN,Total IgG,Pooled,283,61.1,38.9,0.037,3.17e-04,mostly increase
Placental transfer,PRN,Total IgG,TdaP,130,69.2,30.8,0.069,2.44e-05,mostly increase
Placental transfer,PRN,Total IgG,TT,153,54.2,45.8,0.006,3.66e-01,mixed
Placental transfer,PRN,IgG1,Pooled,240,68.8,30.0,0.037,0.00e+00,mostly increase
Placental transfer,PRN,IgG1,TdaP,111,68.5,31.5,0.037,1.02e-04,mostly increase
Placental transfer,PRN,IgG1,TT,129,69.0,28.7,0.036,1.15e-05,mostly increase
Placental transfer,PRN,IgG2,Pooled,223,39.9,59.2,-0.043,2.32e-05,mostly decrease
Placental transfer,PRN,IgG2,TdaP,102,33.3,65.7,-0.068,5.24e-05,mostly decrease
Placental transfer,PRN,IgG2,TT,121,45.5,53.7,-0.016,7.91e-02,mixed
Placental transfer,PRN,IgG3,Pooled,234,19.7,76.5,-0.082,0.00e+00,mostly decrease
Placental transfer,PRN,IgG3,TdaP,108,23.1,72.2,-0.077,1.00e-06,mostly decrease
Placental transfer,PRN,IgG3,TT,126,16.7,80.2,-0.083,0.00e+00,mostly decrease
Placental transfer,PRN,IgG4,Pooled,240,34.6,51.7,-0.005,1.84e-02,mostly decrease
Placental transfer,PRN,IgG4,TdaP,111,36.0,53.2,-0.004,1.60e-01,mostly decrease
Placental transfer,PRN,IgG4,TT,129,33.3,50.4,-0.009,5.78e-02,mostly decrease
Placental transfer,FIM,Total IgG,Pooled,283,63.6,35.7,0.062,2.30e-06,mostly increase
Placental transfer,FIM,Total IgG,TdaP,130,63.8,35.4,0.061,1.37e-03,mostly increase
Placental transfer,FIM,Total IgG,TT,153,63.4,35.9,0.065,5.53e-04,mostly increase
Placental transfer,TT,Total IgG,Pooled,283,79.2,20.8,0.107,0.00e+00,mostly increase
Placental transfer,TT,Total IgG,TdaP,130,80.8,19.2,0.116,0.00e+00,mostly increase
Placental transfer,TT,Total IgG,TT,153,77.8,22.2,0.100,0.00e+00,mostly increase
Placental transfer,TT,IgG1,Pooled,240,76.2,23.8,0.071,0.00e+00,mostly increase
Placental transfer,TT,IgG1,TdaP,111,81.1,18.9,0.104,0.00e+00,mostly increase
Placental transfer,TT,IgG1,TT,129,72.1,27.9,0.055,6.00e-07,mostly increase
Placental transfer,TT,IgG2,Pooled,223,48.4,50.7,-0.001,9.09e-01,mixed
Placental transfer,TT,IgG2,TdaP,102,57.8,41.2,0.020,1.60e-02,mixed
Placental transfer,TT,IgG2,TT,121,40.5,58.7,-0.012,4.88e-02,mixed
Placental transfer,TT,IgG3,Pooled,234,22.6,72.2,-0.031,0.00e+00,mostly decrease
Placental transfer,TT,IgG3,TdaP,108,25.9,71.3,-0.031,0.00e+00,mostly decrease
Placental transfer,TT,IgG3,TT,126,19.8,73.0,-0.031,0.00e+00,mostly decrease
Placental transfer,TT,IgG4,Pooled,240,40.4,58.8,-0.023,1.62e-03,mixed
Placental transfer,TT,IgG4,TdaP,111,42.3,57.7,-0.024,2.38e-02,mixed
Placental transfer,TT,IgG4,TT,129,38.8,59.7,-0.022,2.90e-02,mostly decrease
Placental transfer,DT,Total IgG,Pooled,283,64.0,36.0,0.057,1.00e-07,mostly increase
Placental transfer,DT,Total IgG,TdaP,130,68.5,31.5,0.074,1.20e-06,mostly increase
Placental transfer,DT,Total IgG,TT,153,60.1,39.9,0.035,6.76e-03,mostly increase
Placental transfer,DT,IgG1,Pooled,240,73.3,26.2,0.081,0.00e+00,mostly increase
Placental transfer,DT,IgG1,TdaP,111,74.8,25.2,0.103,1.00e-06,mostly increase
Placental transfer,DT,IgG1,TT,129,72.1,27.1,0.071,1.00e-07,mostly increase
Placental transfer,DT,IgG2,Pooled,223,34.1,55.6,-0.023,7.12e-04,mostly decrease
Placental transfer,DT,IgG2,TdaP,102,37.3,58.8,-0.028,2.27e-02,mostly decrease
Placental transfer,DT,IgG2,TT,121,31.4,52.9,-0.023,1.13e-02,mostly decrease
Placental transfer,DT,IgG3,Pooled,234,18.4,73.1,-0.065,0.00e+00,mostly decrease
Placental transfer,DT,IgG3,TdaP,108,21.3,73.1,-0.054,0.00e+00,mostly decrease
Placental transfer,DT,IgG3,TT,126,15.9,73.0,-0.072,0.00e+00,mostly decrease
Placental transfer,DT,IgG4,Pooled,240,29.2,61.2,-0.034,0.00e+00,mostly decrease
Placental transfer,DT,IgG4,TdaP,111,31.5,62.2,-0.040,9.51e-05,mostly decrease
Placental transfer,DT,IgG4,TT,129,27.1,60.5,-0.033,4.46e-05,mostly decrease
Postnatal decay,PT,Total IgG,Pooled,262,2.7,97.3,-0.575,0.00e+00,mostly decrease
Postnatal decay,PT,Total IgG,TdaP,123,3.3,96.7,-0.576,0.00e+00,mostly decrease
Postnatal decay,PT,Total IgG,TT,139,2.2,97.8,-0.573,0.00e+00,mostly decrease
Postnatal decay,PT,IgG1,Pooled,197,5.1,94.9,-0.411,0.00e+00,mostly decrease
Postnatal decay,PT,IgG1,TdaP,92,6.5,93.5,-0.392,0.00e+00,mostly decrease
Postnatal decay,PT,IgG1,TT,105,3.8,96.2,-0.435,0.00e+00,mostly decrease
Postnatal decay,PT,IgG2,Pooled,180,58.9,41.1,0.031,1.08e-02,mixed
Postnatal decay,PT,IgG2,TdaP,83,51.8,48.2,0.009,8.01e-01,mixed
Postnatal decay,PT,IgG2,TT,97,64.9,35.1,0.053,9.18e-05,mostly increase
Postnatal decay,PT,IgG3,Pooled,194,87.6,12.4,0.263,0.00e+00,mostly increase
Postnatal decay,PT,IgG3,TdaP,91,78.0,22.0,0.158,2.40e-06,mostly increase
Postnatal decay,PT,IgG3,TT,103,96.1,3.9,0.296,0.00e+00,mostly increase
Postnatal decay,PT,IgG4,Pooled,197,87.3,12.7,0.212,0.00e+00,mostly increase
Postnatal decay,PT,IgG4,TdaP,92,77.2,22.8,0.166,4.60e-06,mostly increase
Postnatal decay,PT,IgG4,TT,105,96.2,3.8,0.227,0.00e+00,mostly increase
Postnatal decay,FHA,Total IgG,Pooled,262,3.1,96.9,-0.581,0.00e+00,mostly decrease
Postnatal decay,FHA,Total IgG,TdaP,123,4.1,95.9,-0.568,0.00e+00,mostly decrease
Postnatal decay,FHA,Total IgG,TT,139,2.2,97.8,-0.590,0.00e+00,mostly decrease
Postnatal decay,FHA,IgG1,Pooled,197,23.9,76.1,-0.167,0.00e+00,mostly decrease
Postnatal decay,FHA,IgG1,TdaP,92,14.1,85.9,-0.270,0.00e+00,mostly decrease
Postnatal decay,FHA,IgG1,TT,105,32.4,67.6,-0.108,3.06e-05,mostly decrease
Postnatal decay,FHA,IgG2,Pooled,180,55.6,44.4,0.459,1.94e-01,mixed
Postnatal decay,FHA,IgG2,TdaP,83,49.4,50.6,-0.281,9.15e-01,mixed
Postnatal decay,FHA,IgG2,TT,97,60.8,39.2,1.350,1.88e-01,mostly increase
Postnatal decay,FHA,IgG3,Pooled,194,38.7,61.3,-0.084,3.51e-04,mostly decrease
Postnatal decay,FHA,IgG3,TdaP,91,19.8,80.2,-0.179,0.00e+00,mostly decrease
Postnatal decay,FHA,IgG3,TT,103,55.3,44.7,0.048,5.42e-01,mixed
Postnatal decay,FHA,IgG4,Pooled,197,41.1,58.9,-0.166,6.34e-01,mixed
Postnatal decay,FHA,IgG4,TdaP,92,69.6,30.4,0.335,1.70e-06,mostly increase
Postnatal decay,FHA,IgG4,TT,105,16.2,83.8,-0.326,0.00e+00,mostly decrease
Postnatal decay,PRN,Total IgG,Pooled,262,3.1,96.9,-0.600,0.00e+00,mostly decrease
Postnatal decay,PRN,Total IgG,TdaP,123,3.3,96.7,-0.597,0.00e+00,mostly decrease
Postnatal decay,PRN,Total IgG,TT,139,2.9,97.1,-0.614,0.00e+00,mostly decrease
Postnatal decay,PRN,IgG1,Pooled,197,15.2,84.8,-0.262,0.00e+00,mostly decrease
Postnatal decay,PRN,IgG1,TdaP,92,27.2,72.8,-0.148,1.00e-07,mostly decrease
Postnatal decay,PRN,IgG1,TT,105,4.8,95.2,-0.305,0.00e+00,mostly decrease
Postnatal decay,PRN,IgG2,Pooled,180,40.6,59.4,-0.045,5.52e-03,mixed
Postnatal decay,PRN,IgG2,TdaP,83,42.2,57.8,-0.025,3.27e-02,mixed
Postnatal decay,PRN,IgG2,TT,97,39.2,60.8,-0.047,7.43e-02,mostly decrease
Postnatal decay,PRN,IgG3,Pooled,194,44.8,55.2,-0.057,4.43e-04,mixed
Postnatal decay,PRN,IgG3,TdaP,91,31.9,68.1,-0.180,6.10e-06,mostly decrease
Postnatal decay,PRN,IgG3,TT,103,56.3,43.7,0.029,8.06e-01,mixed
Postnatal decay,PRN,IgG4,Pooled,197,79.2,20.8,0.119,0.00e+00,mostly increase
Postnatal decay,PRN,IgG4,TdaP,92,70.7,29.3,0.090,8.06e-05,mostly increase
Postnatal decay,PRN,IgG4,TT,105,86.7,13.3,0.129,0.00e+00,mostly increase
Postnatal decay,FIM,Total IgG,Pooled,262,3.1,95.8,-0.584,0.00e+00,mostly decrease
Postnatal decay,FIM,Total IgG,TdaP,123,3.3,95.9,-0.573,0.00e+00,mostly decrease
Postnatal decay,FIM,Total IgG,TT,139,2.9,95.7,-0.586,0.00e+00,mostly decrease
Postnatal decay,TT,Total IgG,Pooled,262,1.1,98.9,-0.624,0.00e+00,mostly decrease
Postnatal decay,TT,Total IgG,TdaP,123,1.6,98.4,-0.617,0.00e+00,mostly decrease
Postnatal decay,TT,Total IgG,TT,139,0.7,99.3,-0.631,0.00e+00,mostly decrease
Postnatal decay,TT,IgG1,Pooled,197,22.3,77.7,-0.154,0.00e+00,mostly decrease
Postnatal decay,TT,IgG1,TdaP,92,14.1,85.9,-0.192,0.00e+00,mostly decrease
Postnatal decay,TT,IgG1,TT,105,29.5,70.5,-0.116,9.24e-05,mostly decrease
Postnatal decay,TT,IgG2,Pooled,180,67.2,32.8,0.152,1.40e-04,mostly increase
Postnatal decay,TT,IgG2,TdaP,83,68.7,31.3,0.184,9.85e-03,mostly increase
Postnatal decay,TT,IgG2,TT,97,66.0,34.0,0.125,5.06e-03,mostly increase
Postnatal decay,TT,IgG3,Pooled,194,49.0,51.0,-0.001,3.80e-01,mixed
Postnatal decay,TT,IgG3,TdaP,91,51.6,48.4,0.003,8.98e-01,mixed
Postnatal decay,TT,IgG3,TT,103,46.6,53.4,-0.004,2.83e-01,mixed
Postnatal decay,TT,IgG4,Pooled,197,84.8,15.2,0.705,0.00e+00,mostly increase
Postnatal decay,TT,IgG4,TdaP,92,85.9,14.1,0.784,0.00e+00,mostly increase
Postnatal decay,TT,IgG4,TT,105,83.8,16.2,0.613,0.00e+00,mostly increase
Postnatal decay,DT,Total IgG,Pooled,262,2.3,97.7,-0.601,0.00e+00,mostly decrease
Postnatal decay,DT,Total IgG,TdaP,123,2.4,97.6,-0.623,0.00e+00,mostly decrease
Postnatal decay,DT,Total IgG,TT,139,2.2,97.8,-0.596,0.00e+00,mostly decrease
Postnatal decay,DT,IgG1,Pooled,197,7.6,92.4,-0.288,0.00e+00,mostly decrease
Postnatal decay,DT,IgG1,TdaP,92,6.5,93.5,-0.307,0.00e+00,mostly decrease
Postnatal decay,DT,IgG1,TT,105,8.6,91.4,-0.282,0.00e+00,mostly decrease
Postnatal decay,DT,IgG2,Pooled,180,65.6,34.4,0.063,1.22e-01,mostly increase
Postnatal decay,DT,IgG2,TdaP,83,56.6,43.4,0.044,6.78e-01,mixed
Postnatal decay,DT,IgG2,TT,97,73.2,26.8,0.074,4.73e-03,mostly increase
Postnatal decay,DT,IgG3,Pooled,194,83.0,17.0,0.144,0.00e+00,mostly increase
Postnatal decay,DT,IgG3,TdaP,91,80.2,19.8,0.093,1.00e-07,mostly increase
Postnatal decay,DT,IgG3,TT,103,85.4,14.6,0.161,0.00e+00,mostly increase
Postnatal decay,DT,IgG4,Pooled,197,86.3,13.7,0.517,0.00e+00,mostly increase
Postnatal decay,DT,IgG4,TdaP,92,88.0,12.0,0.538,0.00e+00,mostly increase
Postnatal decay,DT,IgG4,TT,105,84.8,15.2,0.488,0.00e+00,mostly increase
